TABLE CRVTime
#channel,timeOffset
250,2.08804
251,27.5282
252,2.08804
253,27.5282
254,2.08804
255,27.5282
256,110.391
257,27.9991
258,110.391
259,27.9991
260,110.391
261,27.9991
262,110.391
263,27.9991
264,110.391
265,27.9991
266,110.391
267,27.9991
268,110.391
269,27.9991
270,110.391
271,27.9991
272,110.391
273,27.9991
274,110.391
275,27.9991
276,110.391
277,27.9991
278,110.391
279,27.9991
280,110.391
281,27.9991
282,110.391
283,27.9991
284,110.391
285,27.9991
286,110.391
287,27.9991
288,110.578
289,28.6625
290,110.578
291,28.6625
292,110.578
293,28.6625
294,110.578
295,28.6625
296,110.578
297,28.6625
298,110.578
299,28.6625
300,110.578
301,28.6625
302,110.578
303,28.6625
304,110.578
305,28.6625
306,110.578
307,28.6625
308,110.578
309,28.6625
310,110.578
311,28.6625
312,110.578
313,28.6625
314,110.578
315,28.6625
316,110.578
317,28.6625
318,110.578
319,28.6625
320,111.389
321,28.1945
322,111.389
323,28.1945
324,111.389
325,28.1945
326,111.389
327,28.1945
328,111.389
329,28.1945
330,111.389
331,28.1945
332,111.389
333,28.1945
334,111.389
335,28.1945
336,111.389
337,28.1945
338,111.389
339,28.1945
340,111.389
341,28.1945
342,111.389
343,28.1945
344,111.389
345,28.1945
346,111.389
347,28.1945
348,111.389
349,28.1945
350,111.389
351,28.1945
352,112.496
353,29.2663
354,112.496
355,29.2663
356,112.496
357,29.2663
358,112.496
359,29.2663
360,112.496
361,29.2663
362,112.496
363,29.2663
364,112.496
365,29.2663
366,112.496
367,29.2663
368,112.496
369,29.2663
370,112.496
371,29.2663
372,112.496
373,29.2663
374,112.496
375,29.2663
376,112.496
377,29.2663
378,112.496
379,29.2663
380,112.496
381,29.2663
382,112.496
383,29.2663
384,-0.301496
385,28.4229
386,-0.301496
387,28.4229
388,-0.301496
389,28.4229
390,-0.301496
391,28.4229
392,-0.301496
393,28.4229
394,-0.301496
395,28.4229
396,-0.301496
397,28.4229
398,-0.301496
399,28.4229
400,-0.301496
401,28.4229
402,-0.301496
403,28.4229
404,-0.301496
405,28.4229
406,-0.301496
407,28.4229
408,-0.301496
409,28.4229
410,-0.301496
411,28.4229
412,-0.301496
413,28.4229
414,-0.301496
415,28.4229
416,0.220212
417,28.8763
418,0.220212
419,28.8763
420,0.220212
421,28.8763
422,0.220212
423,28.8763
424,0.220212
425,28.8763
426,0.220212
427,28.8763
428,0.220212
429,28.8763
430,0.220212
431,28.8763
432,0.220212
433,28.8763
434,0.220212
435,28.8763
436,0.220212
437,28.8763
438,0.220212
439,28.8763
440,0.220212
441,28.8763
442,0.220212
443,28.8763
444,0.220212
445,28.8763
446,0.220212
447,28.8763
448,1.08206
449,28.6475
450,1.08206
451,28.6475
452,1.08206
453,28.6475
454,1.08206
455,28.6475
456,1.08206
