Channel	ROC	FEB	FEBchannel
1011	1	15	57
1012	1	13	58
1013	1	15	58
1014	1	13	59
1015	1	15	59
1016	1	13	60
1017	1	15	60
1018	1	13	61
1019	1	15	61
1020	1	13	62
1021	1	15	62
1022	1	13	63
1023	1	15	63
1024	1	16	0
1025	1	18	0
1026	1	16	1
1027	1	18	1
1028	1	16	2
1029	1	18	2
1030	1	16	3
1031	1	18	3
1032	1	16	4
1033	1	18	4
1034	1	16	5
1035	1	18	5
1036	1	16	6
1037	1	18	6
1038	1	16	7
1039	1	18	7
1040	1	16	8
1041	1	18	8
1042	1	16	9
1043	1	18	9
1044	1	16	10
1045	1	18	10
1046	1	16	11
1047	1	18	11
1048	1	16	12
1049	1	18	12
1050	1	16	13
1051	1	18	13
1052	1	16	14
1053	1	18	14
1054	1	16	15
1055	1	18	15
1056	1	16	16
1057	1	18	16
1058	1	16	17
1059	1	18	17
1060	1	16	18
1061	1	18	18
1062	1	16	19
1063	1	18	19
1064	1	16	20
1065	1	18	20
1066	1	16	21
1067	1	18	21
1068	1	16	22
1069	1	18	22
1070	1	16	23
1071	1	18	23
1072	1	16	24
1073	1	18	24
1074	1	16	25
1075	1	18	25
1076	1	16	26
1077	1	18	26
1078	1	16	27
1079	1	18	27
1080	1	16	28
1081	1	18	28
1082	1	16	29
1083	1	18	29
1084	1	16	30
1085	1	18	30
1086	1	16	31
1087	1	18	31
1088	1	16	32
1089	1	18	32
1090	1	16	33
1091	1	18	33
1092	1	16	34
1093	1	18	34
1094	1	16	35
1095	1	18	35
1096	1	16	36
1097	1	18	36
1098	1	16	37
1099	1	18	37
1100	1	16	38
1101	1	18	38
1102	1	16	39
1103	1	18	39
1104	1	16	40
1105	1	18	40
1106	1	16	41
1107	1	18	41
1108	1	16	42
1109	1	18	42
1110	1	16	43
1111	1	18	43
1112	1	16	44
1113	1	18	44
1114	1	16	45
1115	1	18	45
1116	1	16	46
1117	1	18	46
1118	1	16	47
1119	1	18	47
1120	1	16	48
1121	1	18	48
1122	1	16	49
1123	1	18	49
1124	1	16	50
1125	1	18	50
1126	1	16	51
1127	1	18	51
1128	1	16	52
1129	1	18	52
1130	1	16	53
1131	1	18	53
1132	1	16	54
1133	1	18	54
1134	1	16	55
1135	1	18	55
1136	1	16	56
1137	1	18	56
1138	1	16	57
1139	1	18	57
1140	1	16	58
1141	1	18	58
1142	1	16	59
1143	1	18	59
1144	1	16	60
1145	1	18	60
1146	1	16	61
1147	1	18	61
1148	1	16	62
1149	1	18	62
1150	1	16	63
1151	1	18	63
1152	1	17	0
1153	1	19	0
1154	1	17	1
1155	1	19	1
1156	1	17	2
1157	1	19	2
1158	1	17	3
1159	1	19	3
1160	1	17	4
1161	1	19	4
1162	1	17	5
1163	1	19	5
1164	1	17	6
1165	1	19	6
1166	1	17	7
1167	1	19	7
1168	1	17	8
1169	1	19	8
1170	1	17	9
1171	1	19	9
1172	1	17	10
1173	1	19	10
1174	1	17	11
1175	1	19	11
1176	1	17	12
1177	1	19	12
1178	1	17	13
1179	1	19	13
1180	1	17	14
1181	1	19	14
1182	1	17	15
1183	1	19	15
1184	1	17	16
1185	1	19	16
1186	1	17	17
1187	1	19	17
1188	1	17	18
