TABLE CRVSiPM
#channel,pedestal,calibPulseHeight,calibPulseArea
404,2044.77,18.8676,528.327
405,2055.53,20.006,542.063
406,2062.05,19.1674,507.392
407,2057.54,19.262,536.652
408,2053.04,20.0844,568.018
409,2033.6,18.904,530.271
410,2060.43,19.8724,555.146
411,2049.48,19.1359,537.462
412,2057.26,19.2919,496.763
413,2051.73,19.1708,536.023
414,2047.42,19.8428,533.276
415,2051.47,20.2358,545.52
416,2046.52,18.9467,547.315
417,2042.25,15.8031,453.584
418,2050.59,18.6958,538.32
419,2037.57,15.5814,446.239
420,2060.82,18.9641,538.263
421,2041.5,15.478,428.264
422,2065.08,20.3651,560.204
423,2061.13,15.6474,409.922
424,2046.39,21.0916,583.114
425,2042.08,15.6632,448.8
426,2059.6,20.9616,592.273
427,2050.16,15.7915,457.352
428,2065.79,19.8561,565.615
429,2034.83,15.3454,422.719
430,2040.21,20.3554,548.238
431,2055.02,16.3535,455.581
432,2051,15.6306,439.711
433,2050.42,16.1126,465.031
434,2047.1,15.1483,429.861
435,2039.36,15.8719,454.821
436,2052.04,15.2476,432.189
437,2047.77,16.5033,470.684
438,2038.28,16.7955,453.856
439,2039.04,16.3959,458.568
440,2043.28,15.1421,427.143
441,2054.2,17.8399,500.974
442,2038.87,15.6625,444.08
443,2043.07,16.4479,471.802
444,2045.45,15.034,424.315
445,2040.29,16.4226,464.093
446,2059.02,15.7552,441.719
447,2048.79,15.9173,441.139
448,2054.15,17.7489,495.386
449,2048.49,16.3425,465.477
450,2051.99,18.4675,510.236
451,2056.94,16.4037,470.379
452,2042.39,17.7272,486.816
453,2056.97,16.2703,455.961
454,2045.45,16.9855,479.444
455,2033.19,16.3216,461.681
456,2041.17,18.274,558.458
457,2057.48,16.7135,475.873
458,2027.19,17.6951,568.726
459,2045.73,16.4029,473.251
460,2056.1,18.8079,552.726
461,2036.81,15.6271,447.571
462,2053.99,18.8085,609.556
463,2059.9,16.04,462.54
464,2048.06,17.1046,489.253
465,2041.35,16.5679,468.876
466,2034.28,18.2264,510.474
467,2053.62,17.1982,487.3
468,2037.42,17.4103,476.941
469,2044.76,16.5434,460.834
470,2044.37,17.8976,472.548
471,2049.82,17.5716,474.846
472,2061.28,18.2619,500.817
473,2054.27,16.9706,479.1
474,2063.12,17.6816,501.003
475,2061.34,17.6931,488.039
476,2065.21,17.2144,469.484
477,2046.9,17.9563,495.411
478,2035.7,17.9483,487.87
479,2049.96,17.3062,475.154
480,2050.46,17.5066,489.781
481,2052.93,17.0647,481.663
482,2051.13,16.4219,453.533
483,2058.85,17.4251,490.18
484,2056.25,16.3591,454.99
485,2054,16.9994,478.667
486,2057.14,16.3786,451.864
487,2048.69,16.3521,463.713
488,2059.07,16.189,464.483
489,2049.71,16.2654,472.096
490,2035.28,17.7491,534.479
491,2051.94,17.7868,497.089
492,2043.05,16.9392,455.3
493,2047.76,17.9804,492.201
494,2067.74,16.0801,445.331
495,2048.56,16.9623,486.2
496,2052.85,16.154,468.741
497,2053.39,17.363,495.436
498,2044.71,16.6566,471.025
499,2058.29,17.3816,488.616
500,2042.87,16.4395,466.426
501,2058.12,17.6776,495.23
502,2043.33,17.3384,479.676
503,2041.3,17.376,482.962
504,2032.04,16.6221,476.655
505,2035.4,17.5148,496.058
506,2035.61,16.1438,467.771
507,2037.84,16.4603,478.793
508,2033.1,16.7868,475.255
509,2031.96,17.695,490.514
510,2038.72,16.4099,469.248
511,2047.94,18.466,517.636
512,2048.08,16.4541,455.812
513,2049.73,15.2801,447.263
514,2040.77,15.6503,423.342
515,2038.7,13.8775,405.803
516,2032.76,15.7004,405.019
517,2038.47,15.0026,435.783
518,2058.76,15.0064,368.762
519,2041.23,14.5624,378
520,2041.69,15.3612,439.714
521,2055.29,14.856,440.675
522,2056.25,15.7521,444.984
523,2050.47,14.9177,439.895
524,2051.84,15.8421,444.272
525,2038.02,15.1424,427.414
526,2053.05,16.5534,444.27
527,2049.03,13.9435,381.606
528,2036.57,17.5468,487.872
529,2054.91,14.8937,436.958
530,2030.68,17.6748,499.958
531,2052.28,15.3049,447.391
532,2038.81,17.1001,462.681
533,2052.66,14.7262,427.715
534,2037.95,17.6835,479.262
535,2050.52,15.725,440.863
536,2045.43,18.1372,528.912
537,2049.21,15.951,455.898
538,2066.1,18.4706,564.656
539,2052.97,14.9857,441.964
540,2072.18,17.7695,499.185
541,2041.88,15.1379,429.498
542,2030.86,17.7542,516.828
543,2051.27,15.2425,434.505
544,2048.56,16.0063,457.749
545,2054.46,16.28,454.147
546,2032.61,16.0717,464.394
547,2045.99,15.4176,443.01
548,2029.08,15.7757,426.362
549,2050.73,15.6056,428.751
550,2032.15,16.1454,395.221
551,2030.24,15.8709,424.728
552,2053.59,17.1925,564.725
553,2044.7,15.1866,422.445
554,2046.38,17.4144,517.104
555,2043.4,15.1665,434.131
556,2036.67,16.3313,477.223
557,2044.78,15.7596,437.727
558,2055.43,16.5807,470.166
559,2053.59,16.0974,438.164
560,2053.25,18.793,597.804
561,2047.62,17.4986,496.02
562,2050.46,18.1016,584.058
563,2044.29,16.9092,482.602
564,2030.08,18.5404,565.106
565,2053,17.4251,500.188
566,2050.25,17.883,505.646
567,2053.16,17.2755,486.658
568,2052.74,19.3556,597.642
569,2079.84,17.5314,506.324
570,2046.82,18.1202,606.159
571,2047.07,16.7453,487.951
572,2055.21,17.9917,545.212
573,2052.03,16.755,476.071
574,2055.96,18.2788,564.696
575,2059.48,17.2346,486.838
576,2034.22,16.0276,459.273
577,2060.85,15.551,441.987
578,2055.61,16.8183,479.592
579,2035.24,16.2739,461.975
580,2041.24,16.6515,465.766
