Channel	ROC	FEB	FEBchannel
1480	1	22	36
1481	1	24	36
1482	1	22	37
1483	1	24	37
1484	1	22	38
1485	1	24	38
1486	1	22	39
1487	1	24	39
1488	1	22	40
1489	1	24	40
1490	1	22	41
1491	1	24	41
1492	1	22	42
1493	1	24	42
1494	1	22	43
1495	1	24	43
1496	1	22	44
1497	1	24	44
1498	1	22	45
1499	1	24	45
1500	1	22	46
1501	1	24	46
1502	1	22	47
1503	1	24	47
1504	1	22	48
1505	1	24	48
1506	1	22	49
1507	1	24	49
1508	1	22	50
1509	1	24	50
1510	1	22	51
1511	1	24	51
1512	1	22	52
1513	1	24	52
1514	1	22	53
1515	1	24	53
1516	1	22	54
1517	1	24	54
1518	1	22	55
1519	1	24	55
1520	1	22	56
1521	1	24	56
1522	1	22	57
1523	1	24	57
1524	1	22	58
1525	1	24	58
1526	1	22	59
1527	1	24	59
1528	1	22	60
1529	1	24	60
1530	1	22	61
1531	1	24	61
1532	1	22	62
1533	1	24	62
1534	1	22	63
1535	1	24	63
1536	2	1	0
1537	2	3	0
1538	2	1	1
1539	2	3	1
1540	2	1	2
1541	2	3	2
1542	2	1	3
1543	2	3	3
1544	2	1	4
1545	2	3	4
1546	2	1	5
1547	2	3	5
1548	2	1	6
1549	2	3	6
1550	2	1	7
1551	2	3	7
1552	2	1	8
1553	2	3	8
1554	2	1	9
1555	2	3	9
1556	2	1	10
1557	2	3	10
1558	2	1	11
1559	2	3	11
1560	2	1	12
1561	2	3	12
1562	2	1	13
1563	2	3	13
1564	2	1	14
1565	2	3	14
1566	2	1	15
1567	2	3	15
1568	2	1	16
1569	2	3	16
1570	2	1	17
1571	2	3	17
1572	2	1	18
1573	2	3	18
1574	2	1	19
1575	2	3	19
1576	2	1	20
1577	2	3	20
1578	2	1	21
1579	2	3	21
1580	2	1	22
1581	2	3	22
1582	2	1	23
1583	2	3	23
1584	2	1	24
1585	2	3	24
1586	2	1	25
1587	2	3	25
1588	2	1	26
1589	2	3	26
1590	2	1	27
1591	2	3	27
1592	2	1	28
1593	2	3	28
1594	2	1	29
1595	2	3	29
1596	2	1	30
1597	2	3	30
1598	2	1	31
1599	2	3	31
1600	2	1	32
1601	2	3	32
1602	2	1	33
1603	2	3	33
1604	2	1	34
1605	2	3	34
1606	2	1	35
1607	2	3	35
1608	2	1	36
1609	2	3	36
1610	2	1	37
1611	2	3	37
1612	2	1	38
1613	2	3	38
1614	2	1	39
1615	2	3	39
1616	2	1	40
1617	2	3	40
1618	2	1	41
1619	2	3	41
1620	2	1	42
1621	2	3	42
1622	2	1	43
1623	2	3	43
1624	2	1	44
1625	2	3	44
1626	2	1	45
1627	2	3	45
1628	2	1	46
1629	2	3	46
1630	2	1	47
1631	2	3	47
1632	2	1	48
1633	2	3	48
1634	2	1	49
1635	2	3	49
1636	2	1	50
1637	2	3	50
1638	2	1	51
1639	2	3	51
1640	2	1	52
1641	2	3	52
1642	2	1	53
1643	2	3	53
1644	2	1	54
1645	2	3	54
1646	2	1	55
1647	2	3	55
1648	2	1	56
1649	2	3	56
1650	2	1	57
1651	2	3	57
1652	2	1	58
1653	2	3	58
1654	2	1	59
1655	2	3	59
1656	2	1	60
1657	2	3	60
