y   x   disk   phi   crate   board   sensor   BoardIdx   MBconn   ConnIdx   BoardChan   FEEchan   xcry   ycry   cryID   rouID   offID   Type
7   21   0   1   1   3   0   54   2   3   5   1085   428.8   -377.3   537   0   1074   CAL
7   22   0   1   1   3   0   54   2   2   4   1084   463   -377.3   606   0   1212   CAL
7   23   0   1   1   3   0   54   1   5   3   1083   497.4   -377.3   654   0   1308   CAL
8   0   0   0   1   2   0   12   5   5   19   259   -514.5   -343   658   0   1316   CAL
8   1   0   0   1   3   0   14   3   4   10   290   -480.2   -343   614   0   1228   CAL
8   2   0   0   1   3   0   14   3   3   9   289   -445.9   -343   556   0   1112   CAL
8   3   0   0   1   3   0   14   3   2   8   288   -411.6   -343   475   0   950   CAL
8   4   0   0   1   3   0   14   2   5   7   287   -377.3   -343   382   0   764   CAL
8   5   0   0   1   3   0   14   2   4   6   286   -343   -343   287   0   574   CAL
8   6   0   0   0   0   0   0   1   3   1   1   -308.7   -343   198   0   396   CAL
8   7   0   0   0   0   0   0   1   4   2   2   -274.4   -343   115   0   230   CAL
8   8   0   0   0   0   0   0   1   5   3   3   -240.1   -343   52   0   104   CAL
8   9   0   0   0   1   0   2   1   2   0   40   -205.8   -343   14   0   28   CAL
8   10   0   1   0   0   0   40   5   2   16   816   205.8   -343   7   0   14   CAL
8   11   0   1   0   0   0   40   5   3   17   817   240.1   -343   36   0   72   CAL
8   12   0   1   0   0   0   40   5   4   18   818   274.4   -343   96   0   192   CAL
8   13   0   1   1   3   0   54   4   2   12   1092   308.7   -343   176   0   352   CAL
8   14   0   1   1   3   0   54   3   5   11   1091   343   -343   262   0   524   CAL
8   15   0   1   1   3   0   54   3   4   10   1090   377.3   -343   354   0   708   CAL
8   16   0   1   1   3   0   54   3   3   9   1089   411.6   -343   448   0   896   CAL
8   17   0   1   1   3   0   54   3   2   8   1088   445.9   -343   536   0   1072   CAL
8   18   0   1   1   2   0   52   1   3   1   1041   480.2   -343   605   0   1210   CAL
8   19   0   1   1   2   0   52   1   2   0   1040   514.5   -343   653   0   1306   CAL
9   0   0   0   1   2   0   12   5   4   18   258   -531.7   -308.7   659   0   1318   CAL
9   1   0   0   1   2   0   12   5   3   17   257   -497.4   -308.7   615   0   1230   CAL
9   2   0   0   1   2   0   12   5   2   16   256   -463   -308.7   557   0   1114   CAL
9   3   0   0   1   2   0   12   4   5   15   255   -428.8   -308.7   476   0   952   CAL
9   4   0   0   1   3   0   14   2   3   5   285   -394.5   -308.7   383   0   766   CAL
9   5   0   0   1   3   0   14   2   2   4   284   -360.1   -308.7   288   0   576   CAL
9   6   0   0   1   3   0   14   1   5   3   283   -325.9   -308.7   199   0   398   CAL
9   7   0   0   1   3   0   14   1   4   2   282   -291.5   -308.7   116   0   232   CAL
9   8   0   0   0   0   0   0   1   2   0   0   -257.2   -308.7   53   0   106   CAL
9   9   0   1   0   0   0   40   5   5   19   819   257.2   -308.7   35   0   70   CAL
9   10   0   1   1   3   0   54   5   2   16   1096   291.5   -308.7   95   0   190   CAL
9   11   0   1   1   3   0   54   4   5   15   1095   325.9   -308.7   175   0   350   CAL
9   12   0   1   1   3   0   54   4   4   14   1094   360.1   -308.7   261   0   522   CAL
9   13   0   1   1   3   0   54   4   3   13   1093   394.5   -308.7   353   0   706   CAL
9   14   0   1   1   2   0   52   2   3   5   1045   428.8   -308.7   447   0   894   CAL
9   15   0   1   1   2   0   52   2   2   4   1044   463   -308.7   535   0   1070   CAL
9   16   0   1   1   2   0   52   1   5   3   1043   497.4   -308.7   604   0   1208   CAL
9   17   0   1   1   2   0   52   1   4   2   1042   531.7   -308.7   652   0   1304   CAL
10   0   0   0   1   2   0   12   4   4   14   254   -548.8   -274.4   660   0   1320   CAL
10   1   0   0   1   2   0   12   4   3   13   253   -514.5   -274.4   616   0   1232   CAL
10   2   0   0   1   2   0   12   4   2   12   252   -480.2   -274.4   558   0   1116   CAL
10   3   0   0   1   2   0   12   3   5   11   251   -445.9   -274.4   477   0   954   CAL
10   4   0   0   1   2   0   12   3   4   10   250   -411.6   -274.4   384   0   768   CAL
10   5   0   0   1   2   0   12   3   3   9   249   -377.3   -274.4   289   0   578   CAL
10   6   0   0   1   3   0   14   1   3   1   281   -343   -274.4   200   0   400   CAL
10   7   0   0   1   3   0   14   1   2   0   280   -308.7   -274.4   117   0   234   CAL
10   8   0   1   1   3   0   54   5   5   19   1099   308.7   -274.4   94   0   188   CAL
10   9   0   1   1   3   0   54   5   4   18   1098   343   -274.4   174   0   348   CAL
10   10   0   1   1   3   0   54   5   3   17   1097   377.3   -274.4   260   0   520   CAL
10   11   0   1   1   2   0   52   3   4   10   1050   411.6   -274.4   352   0   704   CAL
10   12   0   1   1   2   0   52   3   3   9   1049   445.9   -274.4   446   0   892   CAL
10   13   0   1   1   2   0   52   3   2   8   1048   480.2   -274.4   534   0   1068   CAL
